source_id,ra,dec,teff_gspphot,phot_g_mean_mag,bp_rp
109714940365312,45.0733696482864,0.7803359527368653,4811.9497,16.74751,1.1291828
110088602033152,44.943017735158,0.6990716549895101,4700.406,17.849546,1.2135868
114009907853184,45.0121339307097,0.8528758762557055,4198.5776,17.461363,1.6976452
115861038128768,45.13085775423719,0.8281025899810145,3153.9592,18.850367,2.9164963
116754391334784,45.27478968269127,0.8527749167624671,4670.04,18.732903,1.1785374
120710056637440,45.07776899591556,0.929174932410729,5074.141,16.709759,1.0129128
122595546892672,45.17850887755891,0.9756022322224892,3216.1877,18.386456,3.0422802
122943439626112,45.14750274099262,1.0047603412980004,3726.7646,16.24922,2.3748598
123729418203776,44.87044748858703,0.8009087967329396,3423.4133,18.507719,2.5154762
126276334256640,44.936296776864104,0.9057380552556714,3815.723,16.903381,2.1315718
127474629732096,44.908587306947815,0.9515218892736087,3286.8608,18.537004,2.418089
135587823417984,45.01460700691154,1.0450944608161659,3968.6523,17.7073,1.8487759
137026637020032,44.980612718258214,1.0337274568109371,3728.414,17.711103,2.278988
137134011552384,44.977123247156676,1.0454779715330298,4460.047,16.10844,1.2869911
138194868131840,44.92312988671428,1.0895050013030358,4606.718,18.824102,1.1957664
138744624121856,45.009828106125084,1.0851269216015154,3141.112,18.991606,2.7215214
140428251129984,45.02229810012019,1.1589014800994277,3316.0664,18.622297,2.2973404
140634409560704,45.0072642049422,1.1791031823243094,3506.5952,18.094717,2.4097404
144590074673920,45.79181822519235,0.7496236246530575,5396.5977,15.673472,0.893075
144929376460416,45.75534830263765,0.7779376366311606,3693.78,17.81772,2.2965221
145169894618112,45.62954659793602,0.6856698262636293,4251.421,16.152475,1.7603741
146544284158336,45.55229685202255,0.7467077047373978,3816.4436,18.330488,1.9305592
150014617740928,45.873234548779735,0.8024625806668447,3427.353,17.291662,2.3106632
155993212243712,45.78796541697345,0.9408502050694,4311.1865,18.34639,1.4217625
156130651191808,45.87353177804043,0.9072611285012481,3553.4414,18.25847,2.190525
157401961522304,45.870930114437755,0.973310084631101,4907.847,17.499382,1.0532951
161250252204416,45.69002615986985,0.8895427225499614,4479.24,17.844141,1.279417
165373421057280,45.54061002787663,0.9540233109231524,4975.7593,18.333975,1.0936165
170909634234752,45.74626655295629,1.0632865684252881,3518.7903,17.671738,2.565403
172245368747008,45.69832899080063,1.0432776338688856,3472.7478,17.713837,2.1453152
173241801125376,45.60391546729169,1.057105411332563,6296.5586,12.803582,0.7465334
177949085077504,46.02568971774998,1.0183996134060642,3469.9731,18.785482,1.9755058
181144540751488,45.99741821095026,1.0371684415255797,3264.0676,18.551483,2.6216602
181625577088896,45.93720562188412,1.0386059292666459,5109.92,17.547098,0.9725361
191280663730944,46.14582941649091,1.256297935570878,4749.237,17.89574,1.1677551
191594196747136,46.210305277400565,1.225705546267601,4996.906,15.470068,1.071166
193277823924864,46.220283885169295,1.3037179819155764,6082.461,17.457022,0.69327545
193896299199872,45.85698870155772,1.099057546684038,4883.629,14.565585,1.0922928
199630080275200,45.77418966634767,1.2140975270727121,4370.1084,18.891039,1.2658844
200214195576832,45.883632761395866,1.2257777518844968,4464.39,16.50277,1.5627737
200695231916800,45.928617646042795,1.248928415775527,3319.2554,18.583046,2.1100807
207193517941120,45.95858220884293,1.3221504715277557,4307.981,17.230442,1.6123734
209701778899840,46.11458490727763,1.4255162416728075,3627.4749,17.592241,2.336403
212794155284480,45.35915619790441,0.985931186646337,5608.858,13.395508,0.9464989
214645285894272,45.41572190687485,1.0467640941016791,4487.7344,17.973974,1.269268
219219426355328,45.31128932090873,1.125785323288032,4287.1133,18.792883,1.4272594
222724119691264,45.65017418184998,1.177116793691254,4637.3057,17.245346,1.1934566
226400611667072,45.452609890455676,1.2543002655603177,4686.4355,16.741669,1.2036972
227805065750400,45.48914656132355,1.263772460392582,4262.2266,18.407887,1.43116
230111463421440,45.1206827330485,1.1177322559335696,5975.327,16.062061,1.0497131
232894602223360,45.235686438052284,1.2323166758475688,4610.247,15.112117,1.3154993
238181706738176,45.414699416013725,1.2654245405472835,5678.908,18.683273,0.80153656
238392160389632,45.357559582042505,1.2697276836692,4910.097,14.323428,1.1984396
243232588173440,45.240669851803254,1.355838668133081,5684.0483,12.87005,0.83923626
243717919802624,45.2976334791632,1.3878226514689742,5669.6904,14.097511,0.88931274
248386549050112,45.715395898038885,1.3324859459523972,4455.591,18.757685,1.2614708
248592707469568,45.800456561524584,1.295283672231807,3849.2852,18.090801,1.6587296
249142463295232,45.830873890303,1.3357236725550001,3249.5818,18.850243,2.813074
250624227238656,45.77114797702724,1.3985106553053754,4846.866,15.830902,1.0756445
257835477139712,46.0095141159977,1.4702968253360156,3176.4998,18.731932,2.929821
259450385016704,45.96077704382603,1.555081394630976,3553.3674,17.969034,2.4650688
264192028711040,45.51292748296015,1.3750046661086617,3554.2998,18.00438,2.6175652
268796233682816,45.44167975070045,1.4840996845971846,3690.7417,16.819036,2.288972
271136991013504,45.57813374460757,1.5580658304115553,3684.4072,17.270182,2.202219
275771260754688,45.806771274094174,1.6363144407790675,4378.6934,17.315523,1.3121319
276905132125696,45.769948550651115,1.6874870746098662,5109.4263,16.498781,1.0463734
277867204796160,45.68313121854824,1.6466541767133176,3211.0874,18.371107,2.975689
283575216469248,44.3042769367214,0.7234181377104015,7692.439,13.858904,0.42405033
285185828473984,44.34469708965222,0.7528150862046167,5276.4116,16.31461,0.95130634
285460706383360,44.40549421900364,0.773829762241516,4912.2056,18.991405,1.034359
297280456613120,44.47065730487389,0.9389053993206834,3321.2515,18.882246,2.392664
304599080667648,44.001835336927996,0.8780672893854088,4137.755,16.707857,1.9497175
304770879361920,43.99961882472127,0.8865111592551059,6919.281,18.588224,0.46710396
305732952040832,44.11053647692284,0.9198763244405596,3419.178,18.113375,2.0835838
320511935224192,44.735379864454835,1.0507763357751503,5188.828,12.237875,1.1154299
320718093802368,44.74536901303269,1.0773950153983158,5800.783,10.044208,0.7852421
321336568923520,44.54057449147348,1.003200219195809,4901.447,14.784766,1.1754055
323290778577280,44.65822449995138,1.0564346678854133,3684.8684,17.34002,2.2918625
323565656488576,44.639195730681976,1.0786042093190484,5760.3003,16.813683,0.78616524
